vehicle_id,timestamp,x_position,y_position,speed,vehicle_density,mobility_pattern,RSU_id,link_quality_dB,bandwidth_MHz,URLLC_flag,interference_dB,tx_power_mW,rx_power_mW,residual_energy_J,energy_consumed_J,route_id,hop_count,end_to_end_delay_ms,throughput_Mbps,routing_stability,reward_value,optimal_action
V100,1,37.45401188,67.27029942,21.20642385,56,highway,RSU_3,35.52109159,20,1,4.934139916,107.2001878,72.94314567,924.9188785,7.934121546,R5,5,48.07837265,16.47054104,stable,0.263235709,stay
V101,2,95.07143064,79.66813972,9.309659053,98,urban,RSU_2,19.45331492,15,1,10.94145634,165.1589894,70.27038972,955.2342694,8.125154334,R6,8,30.66113145,22.16152404,stable,0.64153731,stay
V102,3,73.19939418,25.04678988,26.80986408,95,urban,RSU_5,32.49086668,15,1,12.32721313,116.1116628,88.12874075,590.1208322,5.668328612,R3,5,44.35213063,26.67198123,stable,0.544685371,stay
V103,4,59.86584842,62.48740996,20.32790598,80,rural,RSU_5,15.6842673,20,0,7.905470979,190.4170126,72.86793753,657.0251121,1.681531788,R2,8,38.0583577,12.64190295,stable,0.315356213,stay
V104,5,15.60186404,57.17459831,8.930097089,98,highway,RSU_4,32.40438252,15,0,13.38437687,165.5196857,110.4602583,825.1528505,6.02005203,R9,7,20.3374847,19.02741706,stable,0.875383075,stay
V105,6,15.59945203,83.28303768,29.05845144,53,urban,RSU_2,39.0109326,25,1,13.11261534,114.7912371,64.76702045,778.6106169,5.298222557,R2,3,45.55210965,17.44427405,stable,0.32996983,stay
V106,7,5.808361217,90.60870605,17.95913658,89,urban,RSU_2,19.35970666,20,0,13.41475339,141.9691815,111.7611254,826.1630847,2.938479465,R1,9,40.56900589,21.43613533,unstable,0.499002206,stay
V107,8,86.61761458,1.215677148,6.822461297,36,urban,RSU_4,22.78249432,15,1,10.59348142,160.0686836,96.48647171,716.5072997,1.091465848,R9,2,24.34062321,9.859574962,stable,0.394152002,stay
V108,9,60.11150117,67.40199191,20.67082261,39,rural,RSU_4,29.5717893,25,1,5.962256996,103.2039038,116.9640454,706.2195069,3.843693768,R8,5,42.82152116,22.88034304,stable,0.495881845,stay
V109,10,70.80725778,5.183579912,11.32997268,92,highway,RSU_5,33.30987615,20,0,8.256266671,109.5424961,51.05750691,558.8269526,3.335394899,R8,6,17.21985497,29.94577193,stable,1.705671843,next-hop
